05,FONTE,TÍTULO,CATEGORIA,MUNICÍPIO,BAIRRO,REGIÃO - ZONA,LINK,OPERADOR,Coluna 1,Coluna 2
20/02/2025,X,"Os elevados Paulo de Frontin e Rufino Pizarro estão interditados para manutenção, no sentido Túnel Rebouças. Previsão de liberação às 5h desta quinta-feira (20/02).",Interdições programadas,Rio de Janeiro,Rio Comprido,Centro,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
20/02/2025,X,"O Túnel Santa Bárbara está interditado para manutenção, no sentido Catumbi. Previsão de liberação às 5h30 desta quinta-feira (20/02).",Interdições programadas,Rio de Janeiro,Rio de Janeiro,Centro,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
20/02/2025,X,": Avenida Presidente Vargas, Rua Bento Ribeiro, Túnel João Ricardo e Rua Rivadávia Corrêa.",Interdições programadas,Rio de Janeiro,Rio de Janeiro,Centro,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
20/02/2025,X,"O Túnel Rio 450 está interditado para manutenção. CET-Rio no local.Opção: Avenida Presidente Vargas, Rua Bento Ribeiro, Túnel João Ricardo e Rua Rivadávia Corrêa.",Interdições programadas,Rio de Janeiro,Centro do Rio de Janeiro,Centro,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
20/02/2025,X,A galeria sentido Aterro do Flamengo do Túnel Prefeito Marcello Alencar está interditada para manutenção. Opção: avenidas Francisco Bicalho e Presidente Vargas.,Interdições programadas,Rio de Janeiro,Flamengo,Zona Sul,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
20/02/2025,OTT,Moradores relatam tiros no Morro do Juramento. Evite a região,Tiroteio,Rio de Janeiro,Vicente de Carvalho,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
20/02/2025,App VIU,"Operação policial sendo realizada nas Comunidades Mandela 1 e 2. Até o momento, não há registros de confrontos. Recomendamos cautela ao se aproximar dessa região.",Operações policiais,Rio de Janeiro,Benfica,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
20/02/2025,App VIU,"Operação policial no Morro do Dendê, na Ilha do Governador. Até o momento, não há registros de confrontos. Recomendamos cautela ao se aproximar dessa região.",Operações policiais,Rio de Janeiro,Ilha do Governador,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
20/02/2025,App VIU,Moradores relatam tiros no Morro do Juramento. Evite a região,Operações policiais,Rio de Janeiro,Vicente de Carvalho,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
20/02/2025,App VIU,"Operação policial em andamento na comunidade do Juramentinho. Muitos tiros já foram escutados por residentes do local, evite essa região.        ",Operações policiais,Rio de Janeiro,Vicente de Carvalho,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Heitor,,
